"region_id","min_absolute_no2","min_relative_no2","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_absolute_o3","min_relative_o3","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_absolute_o3","avg_relative_o3","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"cambridge",-4.65184454304779,-4.70247057469527,,,,,,,,,-12.7811213751638,-0.536828429042353,,,,,,,,
"warrington",-4.66283669045462,-4.71974524582641,-4.82158682663646,-4.85335127051089,-3.41013542946012,-3.41673885356975,,,,,-8.96679890091582,-0.374426060140206,-1.05053438671456,-0.0585199722845556,-0.965183894412549,-0.0873488755563838,,,,
"oxford",-3.77428140232856,-3.78737165862385,-4.14719871102023,-4.15050146904312,-4.18616713261963,-4.18474433966027,,,,,-12.6270555042129,-0.361248240976985,0.643540792340806,0.0482809741622155,0.535662932523258,0.0705768711700815,,,,
"wigan",-4.76890328468253,-4.78776206632754,-4.86582282633695,-4.89236897710268,-4.72130354453132,-4.73085640484531,-4.3637419400043,-4.36563734358769,,,-6.23940574717343,-0.345972491558389,2.4412266180125,0.134298996090973,-3.7785187125193,-0.216257372190623,5.79185448380596,0.136948771699756,,
"doncaster",-4.77381066031422,-4.79121330941157,,,,,,,,,-10.9006492992946,-0.343403261840332,,,,,,,,
"portsmouth",-5.96931065464672,-5.99203767198822,-6.70085735051871,-6.72246126149368,,,,,-0.775121428571429,-0.815462956271404,-7.43592435287044,-0.335332664818865,2.2875529196247,0.102963459484136,,,,,-0.573254421768707,-0.62381274172298
"chatham",-5.12535161646538,-5.12061485238987,-5.55049337232038,-5.56266034394117,-6.0800182333604,-6.10428568889878,,,,,-7.52352265026199,-0.333449664258771,0.0564889684084415,-0.0344484518238746,2.217370751746,0.116844300350193,,,,
"luton",-5.42521298206076,-5.41761183361156,,,,,,,,,-17.7533084077902,-0.325649052735826,,,,,,,,
"coventry",-4.23325805895752,-4.28533316001784,-5.23554666012466,-5.22919316243285,-5.30732476977866,-5.32583667800159,-4.13422686047409,-4.13442708211499,,-0.769714136733435,-7.71722776372543,-0.322286578832569,-1.90584326341625,-0.0803294109961778,-0.754916984101198,-0.0618850113021641,5.06394206763703,0.103957833554552,,-0.763368466658789
"york",-2.86507000770095,-2.87017047873627,-2.81574585194532,-2.80306684190913,-3.60258010439876,-3.56858781270566,,,,,-5.39453485166858,-0.31886760688261,1.66538636568191,0.104565251404669,2.95175504556839,0.30445278717055,,,,
"sheffield",-5.87640956847008,-5.87260557843819,-5.38067979392578,-5.38742281046086,-4.90072465883031,-4.92014852662133,-5.08193143968436,-5.0876805769817,-0.752114285714286,-0.81754892267423,-9.19442505458301,-0.317320957355313,-1.58981840377648,-0.0471053607583236,-0.653634585945831,-0.0297569381570388,2.53710413876156,0.0616460664148872,-0.640089795918367,-0.669068463855616
"barnsley",-3.37002655563252,-3.36128675845844,,,,,-4.82404988044166,-4.80129928318541,,,-5.55789872669009,-0.310991066126427,,,,,-5.50017566118246,-0.0718633744498327,,
"birmingham",-4.07882766879333,-4.0839003369188,-4.25027650765818,-4.26815195490911,-3.83466724823994,-3.83306490043261,-4.0653364255369,-4.0499876765037,-2.93848334774145,-0.75299387755102,-7.75805012716299,-0.308198604188124,-1.34529095250517,-0.0643295436517987,-1.36246621529909,-0.0853627592429627,4.6912274418907,0.0917453070238225,-0.646960544217687,-0.73189874502904
"telford",-3.52803908372499,-3.56596257981496,,,,,,,,,-4.57237822397206,-0.300678784907391,,,,,,,,
"exeter",-4.50037190270334,-4.49797986461978,,,,,-4.53691757360047,-4.54924282328014,,,-10.6198513112187,-0.300065437229124,,,,,3.69578661420856,0.116380767065707,,
"manchester",-5.1202109978741,-5.12842193689306,-5.19487817036637,-5.208879310887,-4.8835984443162,-4.88736426547631,-5.01084789080849,-4.98833048999338,-0.76925,-0.807125098818174,-7.79798404364067,-0.299200256212525,-2.03656172790974,-0.0746533837655071,-1.03173440538729,-0.074523840670963,8.26423443005973,0.182749359350273,-0.656066666666667,-0.723932306432306
"nottingham",-3.92738077573766,-3.91832559031829,-3.58513514732961,-3.59152666676548,-3.72069911035699,-3.73575173976528,-4.04903018216902,-4.05458802485461,-0.770692857142857,-0.822731126697469,-8.4214594234851,-0.296004267650022,0.332965318304251,0.0214153517312545,0.560591537631955,0.0570691668842572,7.17716236426637,0.162882829792119,-0.709558503401361,-0.62227918261974
"aberdeen",-3.28580942927661,-3.27349219111341,-2.50422316910468,-2.48272049066355,-1.21784244395348,-1.2125938277109,,,,,-8.60601230403944,-0.291024712327142,-0.644578792821003,-0.013856603043617,-0.308269140374524,0.0157726738373465,,,,
"glasgow",-6.37852443923381,-6.39592984485987,-5.47864963007296,-5.50318353715971,-4.71106877881458,-4.75531840481012,-5.07882793216561,-5.08085183898874,-0.7816,-0.787465219543821,-10.0722856450956,-0.272469782886631,-3.37692902172857,-0.252397183129507,-0.989919603830139,-0.138735113809916,1.47732545425855,0.0709146025157969,-0.666031972789116,-0.686597222222222
"liverpool",-3.69847698436327,-3.7166675344469,-4.19792023365728,-4.23385643379803,-5.40399994122349,-5.43081384459481,-3.08140684890274,-3.08214882993562,-0.781121428571429,-0.799107262150337,-6.76084653624374,-0.263536197294687,-1.38538639766815,-0.022786011741411,-0.621333635949288,-0.0312867762219348,6.23832367203729,0.140731043771432,-0.66017074829932,-0.595650910364146
"derby",-4.63312168441917,-4.65053820482417,,,,,,,,,-8.59058461048479,-0.256574892727718,,,,,,,,
"preston",-4.16643559556125,-4.17172608884873,-5.91767255999568,-5.90880538861283,-4.79868753482758,-4.77174296719852,-3.44696377031479,-3.42062068015099,,-0.817000654684102,-5.46423161710548,-0.255749977794136,2.99718570627513,0.232481480873973,0.450594759582746,0.024047295293391,8.50712011524067,0.187921121896106,,-0.683123140635565
"leeds",-6.09219112331325,-6.0854439440576,-4.39679688837339,-4.37057278574863,-4.75335055938895,-4.7665340943477,-5.98708632046996,-5.98479152403483,-0.796757142857143,,-7.21223863129451,-0.253787170274843,0.146769349122574,0.0135593767931156,0.610726921452573,0.0869671650277288,-1.64777033226534,0.0314539376616983,-0.624134013605442,
"birkenhead",-4.50687342297427,-4.5156527056951,-4.67960096686381,-4.66616973150739,-4.80177145134381,-4.81967774829528,-4.82684160466389,-4.82037758173415,,,-5.72784557969917,-0.242963146829634,1.29812277174273,0.0776651017480137,-1.67664863920788,-0.0756361118344902,5.87957780278964,0.130462764616875,,
"plymouth",-5.05206722788342,-5.07256354051483,-4.30402542957443,-4.31751765813336,-4.60123511407078,-4.63883057422661,-5.27736066303152,-5.27067578203296,,,-5.37197565312624,-0.239152490913212,2.05481473785379,0.128997067064557,3.47452958570631,0.276747520730825,3.15944105428743,0.0945828214396977,,
"bradford",-4.74549139014125,-4.75516760628316,,,,,,,-2.17979918283913,,-14.7609125031347,-0.228011666140776,,,,,,,-0.521591156462585,
"blackpool",-3.47916152687048,-3.53402058044381,-3.95266721847867,-3.9878147710745,-3.49400799868767,-3.50914919534557,-2.69353393631213,-2.67676475963563,,,-2.71438030392632,-0.223908973414542,2.33614345839166,0.194627672971829,1.14675372202508,0.0937816155507607,5.71863550754498,0.115862780590846,,
"belfast",-5.16370003762793,-5.15898109734843,-5.38684340592209,-5.38847970301138,-5.13840712839678,-5.12228042959926,-4.31514593945891,-4.25623788968624,-4.38403551147446,-0.734714285714286,-8.49898626730377,-0.222671980053276,-2.84492732125477,-0.156026481741095,-1.73331811317792,-0.13205310135187,3.26462406278349,0.0791835591709513,-0.664080952380952,-0.662417491457523
"cardiff",-5.7952486125102,-5.8495338623669,-3.44906814697366,-3.47914440180604,-3.99353473087389,-3.96696200688089,-4.78811930703138,-4.82203590417765,-0.761885714285714,-0.760116440880901,-5.61367759308882,-0.222571515140324,3.45507754157959,0.155116019367174,3.07848223603378,0.269855741939267,5.11498977842927,0.145820483342929,-0.760265306122449,-0.695776063933033
"sunderland",-4.82293607751768,-4.85486097122243,-3.97048847021471,-3.96803509867288,-3.83586525428385,-3.8446105547635,-4.39780308011228,-4.39751955533593,,,-4.21348690608678,-0.219726224228716,3.82775939645008,0.375822085876528,-1.34647912268281,-0.101316795719082,2.26109452656953,0.0499659284755794,,
"brighton",-8.22174553215453,-8.21398736855861,,,Inf,Inf,-8.19207000282602,-8.23433053400932,,,-3.94549495335134,-0.215585811007633,,,,,4.06353270488621,0.118365627935865,,
"northampton",-2.4240265922215,-2.43629270126174,,,-2.31731666181827,-2.31378822838435,-2.99236574989536,-3.02904199643494,,,-3.20479601736493,-0.206825232257585,,,2.57613311703092,0.207833975516479,4.77093745459172,0.0836616089243626,,
"leicester",-4.45475483088247,-4.50668601207567,-4.1323154885915,-4.11622383257072,-6.06559093514855,-6.07166541843495,-5.21191869382291,-5.21498010687158,,-0.788760833578908,-6.07601585206359,-0.198337437328179,-0.539649991418434,-0.0233660845389129,1.42061794807287,0.133752748879414,3.55691191174959,0.0853671887677829,,-0.684618115457146
"reading",-4.62358647067168,-4.61253970404481,-4.77713146276224,-4.79668078063409,-4.59338584868702,-4.59537608579498,-4.33121908432911,-4.36531614231698,-0.766978571428571,-0.816144921270229,-7.77640823335583,-0.198062739597954,3.39520268424484,0.164978484091605,2.43168039268404,0.197871751575279,3.34206924314135,0.115720033933191,-0.694757142857143,-0.720873327873328
"london",-5.45345184116955,-5.42785129746243,-4.77124468361436,-4.82766585523499,-4.83953263182067,-4.85179362589624,-5.39655544238094,-5.40166910888324,-0.77675,-0.807591894184969,-8.38656182170334,-0.19717899961208,-0.562049002701908,-0.0130185004948284,2.35724422867699,0.200020966571701,7.42447351361645,0.196357155907321,-0.749047619047619,-0.71451643600385
"hull",-5.04595063240908,-5.00207163791804,-4.27616603938802,-4.24937137240929,-5.27435811917768,-5.28312538345293,-5.30043478417149,-5.30456608293622,,-0.789046171924773,-3.32858772921703,-0.170515615376944,2.03581094420135,0.104910454569981,1.19317927644767,0.120451907227849,2.95296461578587,0.0919236215864634,,-0.634386691014813
"worthing",-4.56122807488314,-4.52250129231097,,,-4.47293242460103,-4.47763398653818,,,,,-6.0236632790927,-0.168707801747799,,,0.728529092353637,0.0549990267682538,,,,
"bristol",-5.91932134058771,-5.93312882201792,-5.44012386822364,-5.4752886281847,-5.49206463004277,-5.43950105795675,-5.48742892867902,-5.48769152966641,-1.91511496823879,-0.754909298023758,-5.17747845971891,-0.168700722025613,2.23301290605994,0.0954373785631275,3.15520985141604,0.240670426489275,-0.424155901492796,0.0196050107462292,-0.728044897959184,-0.688258615321039
