"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25"
"exeter",-31.7017538801376,-104.113660218466,-13.7178119483399,-34.0254373865933,,,,,-19.057410904041,-62.5876035442366,10.3811889365893,25.7493319991938,,,,
"oxford",-26.6047793141343,-105.21041708368,,,-11.9051631018706,-90.3242686399292,-11.7004249946771,-117.387553778246,-15.5148149666865,-61.3543955523058,,,-1.93738700908964,-14.6989220702929,-2.38317060592274,-23.909778302306
"reading",-31.0340612563389,-113.762528353937,-28.0522289398572,-68.9104497886151,-8.98173567295469,-58.2552259496539,-8.72044667251117,-92.9759495341542,-16.0790165566776,-58.9413535606409,8.02970286203499,19.7250078444062,4.71756182328471,30.5979423080155,-0.459956316286065,-4.90397761226305
"warrington",-23.601970628119,-96.0682128864495,,,-13.6309239507452,-90.4571982544897,-9.45862140983693,-94.2551642420251,-13.6629186172265,-55.6128212788371,,,0.754362125647708,5.00607916249598,-2.38720280765027,-23.7884764559975
"glasgow",-28.8984480866199,-83.955120493999,-14.336941660597,-34.2111878237065,-12.9151450819011,-104.985846233595,-6.87838513077062,-93.1111894092792,-18.4931417623933,-53.7258589222716,9.93774111049142,23.7136995966708,-2.62879783748181,-21.3692191450355,-1.18670493870985,-16.0641642217496
"bradford",-44.434789172484,-104.164575149216,,,,,,,-21.7815093881666,-51.0604801728643,,,,,,
"luton",-41.7197268442528,-101.095815868694,,,,,,,-20.5976773797778,-49.9125751106312,,,,,,
"liverpool",-21.6628833150003,-118.990537876278,-15.7782183731772,-32.7973082608505,-15.2631173441723,-104.087568131607,-13.5015013441548,-154.075632933044,-9.01943007894091,-49.5421971685328,10.1817865799559,21.1643155907064,-2.84442206868034,-19.3976740919085,-2.26925191100601,-25.896114480938
"belfast",-32.3998878874915,-87.8564492034092,-12.0327985232632,-28.8457004157095,-15.8785657743564,-93.5988088076628,-13.4802001150064,-117.713920508287,-17.0801755293889,-46.3150853791196,13.2186136347813,31.6884029997463,-2.55471310995657,-15.059175201039,-5.81368566556673,-50.7671790075917
"plymouth",-22.7698807213353,-124.917422058951,-19.0753107233092,-38.5227419668951,-20.1390170692235,-118.86427049258,-14.0574381959654,-135.644232325521,-8.41971617094939,-46.1912493708213,12.5794137348115,25.4042262498408,-0.713294675879715,-4.20999947530966,1.34607015214578,12.9886149879368
"cambridge",-20.8000550441583,-81.6351740188551,,,,,,,-11.1665766967265,-43.8261067048561,,,,,,
"leeds",-23.3313340917892,-75.0293596219259,-34.3701654132217,-86.624654104109,-8.27442260125231,-49.5266540731778,-10.9666671297717,-96.7040002129638,-13.3261523296562,-42.8545008007154,7.85121383369817,19.7877628595838,1.41625039633163,8.4769834513289,-1.52536658594048,-13.4506727436987
"barnsley",-17.3249191008152,-107.491760177923,-34.0829732581305,-75.8032429715726,,,,,-6.79343844001953,-42.1496141672432,0.373906138094381,0.831596985975084,,,,
"doncaster",-23.6332248819926,-89.5831645955164,,,,,,,-10.9728515802065,-41.5932558548454,,,,,,
"sunderland",-15.4394495151425,-95.9161330537601,-22.6058179203425,-42.8870005948748,-6.37505035163419,-54.282752399822,-14.3358519804038,-161.823111275211,-6.6599748354581,-41.374469460584,2.24255895427529,4.25450773535158,5.90364554481363,50.2687997253672,-3.36268261126376,-37.9579646280936
"nottingham",-22.3232368408719,-72.7503906827856,-30.3549149345694,-78.598098633164,-18.0627714751034,-96.8761790082621,-10.1508991527643,-90.5383144931356,-12.6876921441869,-41.3485986343391,8.70740127619171,22.5461077990124,-3.84667467183796,-20.6308951319658,-1.19831175846301,-10.6880311995811
"york",-18.1906016154156,-72.794415522197,,,-10.0583147491235,-61.3153457141903,-6.71055499094654,-66.5260678139705,-10.1569225679033,-40.6455628827666,,,2.81358085359578,17.1515494430202,0.177784379252369,1.76249143123998
"chatham",-21.4089581236704,-89.3582085993886,,,-17.114460286035,-74.2960578014552,-14.2500872381319,-99.8793740080818,-9.58331002207731,-39.9994904506161,,,0.13922269765322,0.604383510741403,0.727224113629057,5.09713996967602
"swindon",-14.8045549828351,-119.092555666334,,,,,,,-4.94278215280105,-39.7613139578677,,,,,,
"coventry",-21.8531171902927,-87.521205521659,-21.7970163059355,-48.5602787521192,-14.4221883137433,-80.1690595473616,-11.942076527002,-108.5993879692,-9.83286763816427,-39.3803969444378,5.15138759761308,11.4764706411759,-5.35641344739568,-29.774859354412,-3.71648257719968,-33.7971149631716
"birkenhead",-20.5377117953585,-103.748009016713,-26.7700567837053,-53.6725092721784,-11.131876118493,-102.439989662474,-11.5337813443258,-155.128060229357,-7.66751271381955,-38.7330967585634,5.06477456329701,10.1545977995653,3.29933876549285,30.3618388699643,-2.30598972812832,-31.0153021592833
"telford",-13.6541839782086,-91.1460278965804,,,,,,,-5.71882571361936,-38.1749834967155,,,,,,
"portsmouth",-18.4275948596199,-86.4165688342033,,,-11.326166356321,-66.6839959237773,,,-7.84408583645491,-36.7849949378248,,,3.83872337194653,22.600887682047,,
"manchester",-23.3726972852664,-83.3941280469427,-8.6223568816327,-24.0272624615401,-11.9314442587442,-73.4777383831447,-9.0900629916706,-89.4741136339074,-10.3075915242101,-36.7776383245003,10.5719620699297,29.4600781288409,-2.9099233745695,-17.9202604307452,-2.19212626777707,-21.5772492404821
