"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_relative_traffic_mapbox","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_relative_traffic_mapbox","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"cambridge",-20.6671047118756,-0.78243895160045,,,,,,,,,,-9.13004335781334,-0.405433173676692,,,,,,,,,
"doncaster",-24.3912186578595,-0.784947046528622,,,,,,,,,,-10.8378551057992,-0.35748215656393,,,,,,,,,
"telford",-13.2680944987159,-0.736818607498273,,,,,,,-0.687302490790645,,,-4.69344415547439,-0.311755939904425,,,,,,,-0.511174436883804,,
"blackburn",-14.8674922524595,-0.780332255228117,,,,,,,-0.742823152123312,,,-4.73699432864792,-0.310183083701391,,,,,,,-0.528467494386051,,
"warrington",-18.4671387399887,-0.577035728349226,,,-15.0251640924198,-0.571709672949658,-6.30214507437409,-0.440566617028297,-0.744647086735407,,,-7.4235421597633,-0.29254501802709,,,0.245041923039775,0.0202360118777867,0.648093645843609,0.0741903625151572,-0.558835963755902,,
"oxford",-20.0823168585041,-0.612334131805475,,,-7.95732970334132,-0.298709930072912,-5.70016588109512,-0.343224261490199,,,,-8.29064874679916,-0.285556460206152,,,2.26546668182653,0.147760413504125,1.61830016294118,0.169356203149369,,,
"sheffield",-20.2061453721469,-0.60351505264769,-19.4436183607825,-0.219021789262944,-17.4055041708467,-0.488677334021317,-13.2667167238074,-0.416319143287526,,-0.8799,-0.852941176470588,-7.86808133010302,-0.267026078544525,3.74444293979073,0.0933690304568407,-2.08339956017429,-0.0519558944858457,0.0706441815816018,0.0534311068270043,,-0.609813095238095,-0.637311447520018
"nottingham",-18.2374304600013,-0.484614992925988,-29.0138991650442,-0.330074451927636,-14.15404291737,-0.521265097026513,-8.29137389196823,-0.471830049223598,-0.814372171929997,-0.8579,-0.794117647058823,-6.85305891344693,-0.250240458864391,8.51966807854465,0.179269416726837,-0.292792132493787,0.00992936890683962,0.723362803647925,0.096359767768582,-0.644253148562396,-0.6762875,-0.587995539030247
"manchester",-20.2399123261191,-0.527531777403431,-12.3025142778034,-0.205373002317608,-10.7301456136086,-0.371654845277021,-6.8171496977652,-0.468977942501589,-0.707207808138858,-0.8536,-0.871794871794872,-5.98225597184156,-0.23426710596356,7.19568427638952,0.168141526047886,-0.0913940197004821,0.0197177729721999,0.0737596237926365,0.0391167078919694,-0.529305171245782,-0.6284125,-0.695677928572665
"aberdeen",-20.556707109928,-0.665342050331607,-13.099840727787,-0.294457364913309,-14.1554640368969,-0.741981728538925,-8.45867964279381,-0.768131380017894,-0.71109880508485,,,-6.2617528640525,-0.231040682524132,0.807157644460694,0.0303403557890511,-1.38936442299828,-0.0851968168312366,-0.52742731212014,-0.0662550659760907,-0.520959242016678,,
"barnsley",-14.7158152532863,-0.516500001484234,-37.9781294737458,-0.415753145319842,,,,,,,,-4.2351250851882,-0.219919272283175,-4.16108191664845,-0.0355590375822592,,,,,,,
"preston",-15.289313213793,-0.495477503475966,-39.8215569937286,-0.9899659991158,-9.68910343847565,-0.72501867594941,-14.7594130198032,-0.578771457037209,,,-0.84375,-4.90077443506516,-0.218487767777034,3.0100743763596,0.0685679355662032,0.564982111613965,0.0139464243051795,-2.32370029107249,-0.121549115513163,,,-0.654346597985837
"birmingham",-15.939394051344,-0.573117201547539,-21.4764514822806,-0.254293551490454,-11.4874697237287,-0.332733278029197,-11.7948290209278,-0.408879883949707,-0.756057423685645,-0.8349,-0.885714285714286,-5.44968115526557,-0.218169851597275,5.30865685180237,0.111012518233032,1.40202079796526,0.069338776726059,0.292063513913994,0.0564381309201754,-0.599821569414665,-0.617917261904762,-0.701641702215988
"chatham",-17.6490514229476,-0.680165872867287,,,-15.1238423766834,-0.482765982743997,-13.8216039340517,-0.526012094564033,-0.743394038691789,,,-4.81130047916491,-0.211463567339243,,,1.09587759656531,0.021527267419783,2.97412018924685,0.187865805983894,-0.528890202324636,,
"luton",-30.7474474124298,-0.566041135257375,,,,,,,-0.828579822495581,,,-9.80183343988381,-0.188976730657071,,,,,,,-0.671239760266476,,
"blackpool",-11.2553656260876,-0.685810257737818,-28.8958657880505,-0.353011038790583,-11.4778617486784,-0.818489235055298,-23.5451302983288,-0.79145913018616,-0.726113106392637,,,-2.61154397411494,-0.186523428802824,2.60214788591387,0.0572500559953442,0.173597557117114,0.0045380269026108,-5.36179582686913,-0.233389025813474,-0.53626106157955,,
"worthing",-19.0312569525793,-0.531111246877431,,,,,-10.3952493195585,-0.460426699004909,,,,-5.13263247503234,-0.167341768286142,,,,,2.17232399781316,0.185816658636086,,,
