"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_relative_traffic_mapbox","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_relative_traffic_mapbox","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"glasgow",-6.9251362734173,-0.175419917109943,4.23625751161136,0.091109954396858,5.22193394983439,0.276705428664273,5.60658100236013,0.66349398397729,-0.368868735884545,-0.4827,-0.71875,-18.4931417623933,-0.570835852780354,9.93774111049142,0.246559833997589,-2.62879783748181,-0.192128029862458,-1.18670493870985,-0.159631091728767,-0.505778175905878,-0.666031972789116,-0.686597222222222
"warrington",-2.05571594134749,-0.0640292819050561,,,-2.92244756323655,-0.0915886419619198,-4.36977194424373,-0.231575238808158,-0.454138459496313,,,-13.6629186172265,-0.560404447437194,,,0.754362125647708,0.037580754195411,-2.38720280765027,-0.197943320668958,-0.583363533281654,,
"oxford",-10.5985073286583,-0.261041506448355,,,-5.98071849846857,-0.268124898056038,-3.38131319210861,-0.229740956102233,,,,-15.5148149666865,-0.551043739804979,,,-1.93738700908964,-0.114902371552861,-2.38317060592274,-0.169612601737847,,,
"exeter",-16.5231830085473,-0.397031781303288,-4.59580754519474,-0.0851767597515271,,,,,,,,-19.057410904041,-0.529815249316979,10.3811889365893,0.261119444999123,,,,,,,
"leeds",-10.7475891915807,-0.266401826338688,-0.692337865692402,-0.0189172101616684,0.677985886414483,0.0231581280821571,-8.18120100898685,-0.345517676672581,,-0.463,,-13.3261523296562,-0.52117936080776,7.85121383369817,0.202425634264638,1.41625039633163,0.107661802575359,-1.52536658594048,-0.109625907660195,,-0.624134013605442,
"cambridge",-14.5784476323577,-0.610335744544991,,,,,,,,,,-11.1665766967265,-0.49727633244792,,,,,,,,,
"nottingham",-12.383557986763,-0.372173270909371,-1.97253397883074,-0.0403753947014481,-9.03472205043383,-0.305378268337783,-4.59254791565399,-0.273466225108443,-0.525262084904085,-0.5061,-0.631578947368421,-12.6876921441869,-0.48336761815897,8.70740127619171,0.18531293840118,-3.84667467183796,-0.16107879840869,-1.19831175846301,-0.0798815079111609,-0.66988911822341,-0.709558503401361,-0.62227918261974
"york",-9.3991756964385,-0.336280234101628,,,-7.21378179987611,-0.20869172351575,-5.86779007738951,-0.328017977832337,-0.480157050153927,,,-10.1569225679033,-0.479685230058925,,,2.81358085359578,0.170825543996871,0.177784379252369,0.00755279049799009,-0.58665347806194,,
"belfast",-9.34055607477212,-0.240927544632507,10.6516990690157,0.258516059882704,17.1812036983784,0.729241377455897,-1.68774507488837,-0.0924975799548829,-0.487731099342807,-0.5191,-0.673913043478261,-17.0801755293889,-0.479360551125711,13.2186136347813,0.294466082787081,-2.55471310995657,-0.134562092838455,-5.81368566556673,-0.433717112249708,-0.514744381305013,-0.664080952380952,-0.662417491457523
"reading",-17.4179185297085,-0.370516189825928,-2.09479509262165,-0.0445798498324533,-2.31212966602126,-0.0921227432213599,-0.645241597854598,-0.058996709330344,-0.496443099373629,-0.542,-0.783783783783784,-16.0790165566776,-0.454573243238975,8.02970286203499,0.192596732641957,4.71756182328471,0.241571601874525,-0.459956316286065,-0.0679431786282839,-0.608779996652765,-0.694757142857143,-0.720873327873328
