"region_id","poll","value",".group"
"Aberdeen","no2",-9.2822322544212,1
"Aberdeen","o3",-9.38020596341348,1
"Aberdeen","pm10",-1.41831160713308,1
"Aberdeen","pm25",0.00702598890390209,1
"Barnsley","no2",-6.55636527606863,2
"Barnsley","o3",0.0730688682363023,2
"Belfast","no2",-17.076529513776,3
"Belfast","o3",14.2891271841863,3
"Belfast","pm10",-2.21153504069382,3
"Belfast","pm25",-5.82083066211968,3
"Birkenhead","no2",-7.8436207905337,4
"Birkenhead","o3",5.22273909108857,4
"Birkenhead","pm10",2.87062754672952,4
"Birkenhead","pm25",-2.04204861531932,4
"Birmingham","no2",-8.95093304378716,5
"Birmingham","o3",2.33753480692042,5
"Birmingham","pm10",-4.75906488332645,5
"Birmingham","pm25",-3.89458045005025,5
"Blackburn","no2",-5.06547738695522,6
"Blackpool","no2",-4.48730663224108,7
"Blackpool","o3",3.52776631555414,7
"Blackpool","pm10",2.57446476664945,7
"Blackpool","pm25",-6.18068603350729,7
"Bournemouth","no2",-3.78591364095208,8
"Bournemouth","o3",-0.0347108161500915,8
"Bournemouth","pm25",1.7461661649729,8
"Bradford","no2",-22.6792546283878,9
"Brighton","no2",-3.65856214782808,10
"Brighton","o3",8.93495108957188,10
"Bristol","no2",-10.3810298922845,11
"Bristol","o3",6.5687544018805,11
"Bristol","pm10",2.19243140610996,11
"Bristol","pm25",0.175504912826011,11
"Cambridge","no2",-10.865473456395,12
"Cardiff","no2",-7.38346000355841,13
"Cardiff","o3",16.2692067785759,13
"Cardiff","pm10",-0.960001433720399,13
"Cardiff","pm25",-0.195737678553714,13
"Chatham","no2",-9.68422471788364,14
"Chatham","pm10",0.334800036494855,14
"Chatham","pm25",0.642920517864167,14
"Coventry","no2",-9.61825158501357,15
"Coventry","o3",5.90287375435301,15
"Coventry","pm10",-5.76795698278403,15
"Coventry","pm25",-3.90947225673243,15
"Derby","no2",-11.8096675816025,16
"Doncaster","no2",-11.0953409603066,17
"Dundee","no2",-2.53700734792844,18
"Edinburgh","no2",-8.63656905616079,19
"Edinburgh","o3",7.57736057532472,19
"Edinburgh","pm10",-4.27058814706506,19
"Edinburgh","pm25",-1.67045362370897,19
"Exeter","no2",-18.9477965555149,20
"Exeter","o3",10.5607153561765,20
"Glasgow","no2",-18.5384459472658,21
"Glasgow","o3",10.1754196772953,21
"Glasgow","pm10",-2.7551634539294,21
"Glasgow","pm25",-1.13821335289547,21
"Hull","no2",-4.12246078395304,22
"Hull","o3",4.72771715425882,22
"Hull","pm10",-0.377661674676411,22
