"region_id","process_id","unit","poll","value",".group"
"Aberdeen","Observed","µg/m3","no2",17.1910020864909,67
"Aberdeen","Predicted","µg/m3","no2",26.3360737378262,68
"Barnsley","Observed","µg/m3","no2",11.011714693323,25
"Barnsley","Predicted","µg/m3","no2",17.8000704495313,26
"Belfast","Observed","µg/m3","no2",19.0267718184669,91
"Belfast","Predicted","µg/m3","no2",36.1965805746953,92
"Birkenhead","Observed","µg/m3","no2",14.8993748059006,53
"Birkenhead","Predicted","µg/m3","no2",22.7537246809385,54
"Birmingham","Observed","µg/m3","no2",16.3734111853649,63
"Birmingham","Predicted","µg/m3","no2",25.5051626437766,64
"Blackburn","Observed","µg/m3","no2",11.9275308965491,19
"Blackburn","Predicted","µg/m3","no2",16.772795778957,20
"Blackpool","Observed","µg/m3","no2",7.54230407608696,5
"Blackpool","Predicted","µg/m3","no2",12.2965195372414,6
"Bournemouth","Observed","µg/m3","no2",14.8171607036985,27
"Bournemouth","Predicted","µg/m3","no2",18.6230172293232,28
"Bradford","Observed","µg/m3","no2",33.9727482151515,99
"Bradford","Predicted","µg/m3","no2",56.3181160780355,100
"Brighton","Observed","µg/m3","no2",10.2378556571146,9
"Brighton","Predicted","µg/m3","no2",13.8650987467905,10
"Bristol","Observed","µg/m3","no2",18.2932542972625,73
"Bristol","Predicted","µg/m3","no2",28.2754741124176,74
"Cambridge","Observed","µg/m3","no2",10.9763084145813,39
"Cambridge","Predicted","µg/m3","no2",21.7737108740813,40
"Cardiff","Observed","µg/m3","no2",14.4704947066128,49
"Cardiff","Predicted","µg/m3","no2",21.9947666686541,50
"Chatham","Observed","µg/m3","no2",12.4112829042561,45
"Chatham","Predicted","µg/m3","no2",21.9450742619734,46
"Coventry","Observed","µg/m3","no2",15.6364163722826,59
"Coventry","Predicted","µg/m3","no2",25.4060402208724,60
"Derby","Observed","µg/m3","no2",17.4158832880435,79
"Derby","Predicted","µg/m3","no2",29.3105776150037,80
"Doncaster","Observed","µg/m3","no2",19.9789558839973,83
"Doncaster","Predicted","µg/m3","no2",31.1073400995783,84
"Dundee","Observed","µg/m3","no2",5.42928853586957,1
"Dundee","Predicted","µg/m3","no2",7.88597559395458,2
"Edinburgh","Observed","µg/m3","no2",15.0517381250543,55
"Edinburgh","Predicted","µg/m3","no2",23.8269266865697,56
"Exeter","Observed","µg/m3","no2",17.3159665019763,93
"Exeter","Predicted","µg/m3","no2",36.3071041942031,94
"Glasgow","Observed","µg/m3","no2",13.9286768682065,87
"Glasgow","Predicted","µg/m3","no2",32.6575085008153,88
"Hull","Observed","µg/m3","no2",15.433501336221,33
"Hull","Predicted","µg/m3","no2",19.5169799986495,34
"Leeds","Observed","µg/m3","no2",13.137258842109,71
"Leeds","Predicted","µg/m3","no2",27.0313368306295,72
"Leicester","Observed","µg/m3","no2",17.5103353384387,57
"Leicester","Predicted","µg/m3","no2",24.8264735356049,58
"Liverpool","Observed","µg/m3","no2",13.3249141304348,51
"Liverpool","Predicted","µg/m3","no2",22.2419111671288,52
"London","Observed","µg/m3","no2",24.2539529435316,95
"London","Predicted","µg/m3","no2",37.7513654423883,96
"Luton","Observed","µg/m3","no2",28.6767317934783,97
"Luton","Predicted","µg/m3","no2",49.6901385397918,98
"Manchester","Observed","µg/m3","no2",15.7697499240793,65
"Manchester","Predicted","µg/m3","no2",26.0800411483166,66
"Middlesbrough","Observed","µg/m3","no2",10.1481704190782,13
"Middlesbrough","Predicted","µg/m3","no2",15.0673846109793,14
"Newport","Observed","µg/m3","no2",22.078974048913,41
"Newport","Predicted","µg/m3","no2",21.8838616089672,42
"Northampton","Observed","µg/m3","no2",7.94814211956522,3
"Northampton","Predicted","µg/m3","no2",11.7837079213469,4
"Norwich","Observed","µg/m3","no2",9.77740679347826,11
"Norwich","Predicted","µg/m3","no2",14.5441242213696,12
"Nottingham","Observed","µg/m3","no2",14.2067542902928,69
"Nottingham","Predicted","µg/m3","no2",26.7133948102931,70
"Others","Observed","µg/m3","no2",11.4274095230691,21
"Others","Predicted","µg/m3","no2",17.5332576912303,22
"Oxford","Observed","µg/m3","no2",13.8628697023221,77
"Oxford","Predicted","µg/m3","no2",29.2937576555804,78
"Plymouth","Observed","µg/m3","no2",11.238366980343,31
"Plymouth","Predicted","µg/m3","no2",19.3927035892936,32
"Portsmouth","Observed","µg/m3","no2",14.240433423913,47
"Portsmouth","Predicted","µg/m3","no2",21.9558283457598,48
"Preston","Observed","µg/m3","no2",14.0575152717391,43
"Preston","Predicted","µg/m3","no2",21.9360879805866,44
"Reading","Observed","µg/m3","no2",18.6733891595497,89
"Reading","Predicted","µg/m3","no2",34.5022316454762,90
"Sheffield","Observed","µg/m3","no2",19.6610012228261,81
"Sheffield","Predicted","µg/m3","no2",29.6416103843712,82
"Southampton","Observed","µg/m3","no2",25.3081951572205,75
"Southampton","Predicted","µg/m3","no2",28.4342179845267,76
"Southend","Observed","µg/m3","no2",13.1533672124741,35
"Southend","Predicted","µg/m3","no2",19.9274371201192,36
"Sunderland","Observed","µg/m3","no2",9.07544774152835,15
"Sunderland","Predicted","µg/m3","no2",15.7493726777188,16
"Swansea","Observed","µg/m3","no2",12.1747679010706,29
"Swansea","Predicted","µg/m3","no2",19.0488825831621,30
"Swindon","Observed","µg/m3","no2",8.31370427371541,7
"Swindon","Predicted","µg/m3","no2",13.0882826610835,8
"Telford","Observed","µg/m3","no2",10.7698808501553,17
"Telford","Predicted","µg/m3","no2",16.3061612319562,18
"Warrington","Observed","µg/m3","no2",11.4650432831028,61
"Warrington","Predicted","µg/m3","no2",25.441542917427,62
"Wigan","Observed","µg/m3","no2",11.3297608695652,23
"Wigan","Predicted","µg/m3","no2",17.5502628009187,24
"Worthing","Observed","µg/m3","no2",20.8613748764822,85
"Worthing","Predicted","µg/m3","no2",31.6717413579589,86
"York","Observed","µg/m3","no2",11.1649531121467,37
"York","Predicted","µg/m3","no2",21.3333271649348,38
