"id","name","city","name_2","name_1","type","source"
"UKA00010","London Cromwell Road","London",NA,NA,"Traffic","defra"
"UKA00538","Warrington","Warrington",NA,NA,"Industrial","defra"
"UKA00155","West London","London",NA,NA,"Background","defra"
"UKA00482","Wigan Centre","Wigan",NA,NA,"Background","defra"
"UKA00423","Wigan Leigh","Wigan",NA,NA,"Background","defra"
"UKA00006","Woolwich 9","London",NA,NA,"Unknown","defra"
"UKA00523","York Bootham","York",NA,NA,"Background","defra"
"UKA00524","York Fishergate","York",NA,NA,"Traffic","defra"
"UKA00399","Aberdeen","Aberdeen",NA,NA,"Background","defra"
"UKA10403","ABERDEEN 2","Aberdeen",NA,NA,NA,"defra"
"UKA13303","ABERDEEN 3","Aberdeen",NA,NA,"Unknown","defra"
"UKA00513","Aberdeen Union Street Roadside","Aberdeen",NA,NA,"Traffic","defra"
"UKA00615","Aberdeen Wellington Road","Aberdeen",NA,NA,"Traffic","defra"
"UKA00186","Barnsley","Barnsley",NA,NA,"Background","defra"
"UKA00236","Barnsley 12","Barnsley",NA,NA,"Background","defra"
"UKA00353","Barnsley Gawber","Barnsley",NA,NA,"Background","defra"
"UKA00212","Belfast Centre","Belfast",NA,NA,"Background","defra"
"UKA00594","Belfast Stockman's Lane","Belfast",NA,NA,"Traffic","defra"
"UKA00626","Birmingham A4540 Roadside","Birmingham",NA,NA,"Traffic","defra"
"UKA00559","Birmingham Acocks Green","Birmingham",NA,NA,"Background","defra"
"UKA00214","Birmingham Centre","Birmingham",NA,NA,"Background","defra"
"UKA00547","Birmingham Roadside 2","Birmingham",NA,NA,"Traffic","defra"
"UKA00479","Birmingham Tyburn","Birmingham",NA,NA,"Background","defra"
"UKA00543","Birmingham Tyburn Roadside","Birmingham",NA,NA,"Traffic","defra"
"UKA00412","Blackpool","Blackpool",NA,NA,"Background","defra"
"UKA00001","Bradford 6","Bradford",NA,NA,"Unknown","defra"
"UKA00364","Bradford Centre","Bradford",NA,NA,"Background","defra"
"UKA00611","Bradford Mayo Avenue","Bradford",NA,NA,"Traffic","defra"
"UKA00460","Brentford Roadside","London",NA,NA,"Traffic","defra"
"UKA00483","Brighton Preston Park","Brighton",NA,NA,"Background","defra"
"UKA00367","Brighton Roadside","Brighton",NA,NA,"Traffic","defra"
"UKA00458","Brighton Roadside PM10","Brighton",NA,NA,"Traffic","defra"
"UKA00465","Bristol Avonmouth","Bristol",NA,NA,"Industrial","defra"
"UKA00221","Bristol Centre","Bristol",NA,NA,"Background","defra"
"UKA00237","Bristol East","Bristol",NA,NA,"Background","defra"
"UKA00466","Bristol Hallen","Bristol",NA,NA,"Industrial","defra"
"UKA00262","Bristol Old Market","Bristol",NA,NA,"Traffic","defra"
"UKA00494","Bristol St Paul's","Bristol",NA,NA,"Background","defra"
"UKA00631","Bristol Temple Way","Bristol",NA,NA,"Traffic","defra"
"UKA00345","Bromley Roadside","London",NA,NA,"Traffic","defra"
"UKA00396","Cambridge Roadside","Cambridge",NA,NA,"Traffic","defra"
"UKA00259","Camden Kerbside","London",NA,NA,"Traffic","defra"
"UKA00183","Cardiff (University of Cardiff)","Cardiff",NA,NA,"Background","defra"
"UKA00002","Cardiff 12","Cardiff",NA,NA,"Unknown","defra"
"UKA00217","Cardiff Centre","Cardiff",NA,NA,"Background","defra"
"UKA00232","Cardiff East","Cardiff",NA,NA,"Background","defra"
"UKA00013","Cardiff Kerbside","Cardiff",NA,NA,"Traffic","defra"
"UKA00452","Cardiff Lakeside","Cardiff",NA,NA,"Background","defra"
"UKA00453","Cardiff Llandaff","Cardiff",NA,NA,"Traffic","defra"
"UKA00653","Cardiff Newport Road","Cardiff",NA,NA,"Traffic","defra"
"UKA00468","Cardiff Rumney","Cardiff",NA,NA,"Background","defra"
"UKA00009","Central London","London",NA,NA,"Background","defra"
"UKA00553","Chatham Roadside","Chatham",NA,NA,"Traffic","defra"
"UKA00592","Coventry Allesley","Coventry",NA,NA,"Background","defra"
"UKA00634","Coventry Binley Road","Coventry",NA,NA,"Traffic","defra"
"UKA00327","Coventry Centre","Coventry",NA,NA,"Background","defra"
"UKA00427","Coventry Memorial Park","Coventry",NA,NA,"Background","defra"
"UKA00630","Derby St Alkmund's Way","Derby",NA,NA,"Traffic","defra"
"UKA00612","Doncaster A630 Cleveland Street","Doncaster",NA,NA,"Traffic","defra"
"UKA00643","Dundee Mains Loan","Dundee",NA,NA,"Background","defra"
"UKA00591","Ealing Horn Lane","London",NA,NA,"Traffic","defra"
"UKA00361","Edinburgh","Edinburgh",NA,NA,"Traffic","defra"
"UKA11290","EDINBURGH 12","Edinburgh",NA,NA,NA,"defra"
"UKA11787","EDINBURGH 14","Edinburgh",NA,NA,NA,"defra"
"UKA13311","EDINBURGH 24","Edinburgh",NA,NA,NA,"defra"
"UKA14912","EDINBURGH 25","Edinburgh",NA,NA,"Unknown","defra"
"UKA00218","Edinburgh Centre","Edinburgh",NA,NA,"Background","defra"
"UKA00227","Edinburgh Med. Sch.","Edinburgh",NA,NA,"Background","defra"
"UKA00649","Edinburgh Nicolson Street","Edinburgh",NA,NA,"Traffic","defra"
"UKA00454","Edinburgh St Leonards","Edinburgh",NA,NA,"Background","defra"
"UKA00263","Exeter Roadside","Exeter",NA,NA,"Traffic","defra"
"UKA00177","Featherstone","Wakefield",NA,NA,"Background","defra"
"UKA10657","GLASGOW 20","Glasgow",NA,NA,NA,"defra"
"UKA10663","GLASGOW 51","Glasgow",NA,NA,"Unknown","defra"
"UKA12012","GLASGOW 66","Glasgow",NA,NA,NA,"defra"
"UKA12300","GLASGOW 69","Glasgow",NA,NA,"Unknown","defra"
"UKA12583","GLASGOW 73","Glasgow",NA,NA,"Unknown","defra"
"UKA13158","GLASGOW 96","Glasgow",NA,NA,NA,"defra"
"UKA13266","GLASGOW 98","Glasgow",NA,NA,"Unknown","defra"
"UKA00264","Glasgow Centre","Glasgow",NA,NA,"Background","defra"
"UKA00156","Glasgow City Chambers","Glasgow",NA,NA,"Background","defra"
"UKA00593","Glasgow Great Western Road","Glasgow",NA,NA,"Traffic","defra"
"UKA00602","Glasgow High Street","Glasgow",NA,NA,"Traffic","defra"
"UKA00011","Glasgow Hope St","Glasgow",NA,NA,"Traffic","defra"
"UKA00336","Glasgow Kerbside","Glasgow",NA,NA,"Traffic","defra"
"UKA00576","Glasgow Townhead","Glasgow",NA,NA,"Background","defra"
"UKA00260","Haringey Roadside","London",NA,NA,"Traffic","defra"
"UKA00358","Hounslow Roadside","London",NA,NA,"Traffic","defra"
"UKA00233","Hull Centre","Hull",NA,NA,"Background","defra"
"UKA00450","Hull Freetown","Hull",NA,NA,"Background","defra"
"UKA00600","Hull Holderness Road","Hull",NA,NA,"Traffic","defra"
"UKA00222","Leeds Centre","Leeds",NA,NA,"Background","defra"
"UKA00527","Leeds Headingley Kerbside","Leeds",NA,NA,"Traffic","defra"
"UKA00480","Leeds Millshaw","Leeds",NA,NA,"Background","defra"
"UKA00241","Leeds Potternewton","Leeds",NA,NA,"Background","defra"
"UKA00609","Leicester A594 Roadside","Leicester",NA,NA,"Traffic","defra"
"UKA00234","Leicester Centre","Leicester",NA,NA,"Background","defra"
"UKA00573","Leicester University","Leicester",NA,NA,"Background","defra"
"UKA00226","Liverpool Centre","Liverpool",NA,NA,"Background","defra"
"UKA00517","Liverpool Queen's Drive Roadside","Liverpool",NA,NA,"Traffic","defra"
"UKA00247","Liverpool Speke","Liverpool",NA,NA,"Industrial","defra"
"UKA00338","London A3 Roadside","London",NA,NA,"Traffic","defra"
"UKA00372","London Ashdown House 2a","London",NA,NA,"Background","defra"
"UKA00238","London Bexley","London",NA,NA,"Background","defra"
"UKA00211","London Bloomsbury","London",NA,NA,"Background","defra"
"UKA00059","London Brent","London",NA,NA,"Background","defra"
"UKA00178","London Bridge Place","London",NA,NA,"Background","defra"
"UKA00373","London Bromley","London",NA,NA,"Traffic","defra"
"UKA00370","London Cromwell Road 2","London",NA,NA,"Traffic","defra"
"UKA00430","London Crystal Palace Parade","London",NA,NA,"Traffic","defra"
"UKA00230","London Eltham","London",NA,NA,"Background","defra"
"UKA00318","London Hackney","London",NA,NA,"Background","defra"
"UKA00261","London Haringey","London",NA,NA,"Background","defra"
"UKA00568","London Haringey Priory Park South","London",NA,NA,"Background","defra"
"UKA00472","London Harlington","London",NA,NA,"Industrial","defra"
"UKA00057","London Harrow","London",NA,NA,"Background","defra"
"UKA00540","London Harrow Stanmore","London",NA,NA,"Background","defra"
"UKA00266","London Hillingdon","London",NA,NA,"Background","defra"
"UKA00656","London Honor Oak Park","London",NA,NA,"Background","defra"
"UKA00049","London Islington","London",NA,NA,"Background","defra"
"UKA00342","London Lewisham","London",NA,NA,"Background","defra"
"UKA00315","London Marylebone Road","London",NA,NA,"Traffic","defra"
"UKA00253","London N. Kensington","London",NA,NA,"Background","defra"
"UKA00532","London Nobel House","London",NA,NA,"Background","defra"
"UKA00330","London Southwark","London",NA,NA,"Background","defra"
"UKA00254","London Sutton","London",NA,NA,"Background","defra"
"UKA00267","London Teddington","London",NA,NA,"Background","defra"
"UKA00572","London Teddington Bushy Park","London",NA,NA,"Background","defra"
"UKA00223","London UCL","London",NA,NA,"Background","defra"
"UKA00255","London Wandsworth","London",NA,NA,"Background","defra"
"UKA00435","London Westminster","London",NA,NA,"Background","defra"
"UKA00605","Luton A505 Roadside","Luton",NA,NA,"Traffic","defra"
"UKA00185","Manchester Law Courts","Manchester",NA,NA,"Background","defra"
"UKA00248","Manchester Piccadilly","Manchester",NA,NA,"Background","defra"
"UKA00617","Manchester Sharston","Manchester",NA,NA,"Unknown","defra"
"UKA00313","Manchester South","Manchester",NA,NA,"Unknown","defra"
"UKA00157","Manchester Town Hall","Manchester",NA,NA,"Background","defra"
"UKA00068","Manchester Wythenshawe","Manchester",NA,NA,"Traffic","defra"
"UKA00220","Middlesbrough","Middlesbrough",NA,NA,"Industrial","defra"
"UKA00215","Middlesbrough Longlands College","Middlesbrough",NA,NA,"Background","defra"
"UKA00380","Newport","Newport",NA,NA,"Background","defra"
"UKA00425","Northampton","Northampton",NA,NA,"Background","defra"
"UKA00567","Northampton Kingsthorpe","Northampton",NA,NA,"Background","defra"
"UKA00431","Northampton PM10","Northampton",NA,NA,"Background","defra"
"UKA00632","Northampton Spring Park","Northampton",NA,NA,"Background","defra"
"UKA00355","Norwich Centre","Norwich",NA,NA,"Background","defra"
"UKA00485","Norwich Forum Roadside","Norwich",NA,NA,"Traffic","defra"
"UKA00350","Norwich Roadside","Norwich",NA,NA,"Traffic","defra"
"UKA00258","Oxford Centre Roadside","Oxford",NA,NA,"Traffic","defra"
"UKA00518","Oxford St Ebbes","Oxford",NA,NA,"Background","defra"
"UKA00360","Plymouth Centre","Plymouth",NA,NA,"Background","defra"
"UKA00421","Portsmouth","Portsmouth",NA,NA,"Background","defra"
"UKA00651","Portsmouth Anglesea Road","Portsmouth",NA,NA,"Traffic","defra"
"UKA00408","Preston","Preston",NA,NA,"Background","defra"
"UKA00354","Reading","Reading",NA,NA,"Background","defra"
"UKA00620","Reading London Road","Reading",NA,NA,"Traffic","defra"
"UKA00462","Reading New Town","Reading",NA,NA,"Background","defra"
"UKA00508","Royston","Barnsley",NA,NA,"Industrial","defra"
"UKA00478","Sheffield 2","Sheffield",NA,NA,"Background","defra"
"UKA00622","Sheffield Barnsley Road","Sheffield",NA,NA,"Traffic","defra"
"UKA00250","Sheffield Centre","Sheffield",NA,NA,"Background","defra"
"UKA00575","Sheffield Devonshire Green","Sheffield",NA,NA,"Background","defra"
"UKA00302","Sheffield Tapton gardens","Sheffield",NA,NA,"Background","defra"
"UKA00181","Sheffield Tinsley","Sheffield",NA,NA,"Background","defra"
"UKA00509","South Hiendley","Wakefield",NA,NA,"Industrial","defra"
"UKA00008","South Kirkby 1","Wakefield",NA,NA,"Unknown","defra"
"UKA00613","Southampton A33","Southampton",NA,NA,"Traffic","defra"
"UKA00235","Southampton Centre","Southampton",NA,NA,"Background","defra"
"UKA00558","Southwark A2 Old Kent Road","London",NA,NA,"Traffic","defra"
"UKA00340","Southwark Roadside","London",NA,NA,"Traffic","defra"
"UKA00219","Sunderland","Sunderland",NA,NA,"Background","defra"
"UKA00005","Sunderland 8","Sunderland",NA,NA,"Unknown","defra"
"UKA00484","Sunderland Silksworth","Sunderland",NA,NA,"Background","defra"
"UKA00601","Sunderland Wessington Way","Sunderland",NA,NA,"Traffic","defra"
"UKA00256","Sutton Roadside","London",NA,NA,"Traffic","defra"
"UKA00240","Swansea","Swansea",NA,NA,"Background","defra"
"UKA00510","Swansea Cwm Level Park","Swansea",NA,NA,"Background","defra"
"UKA00497","Swansea Roadside","Swansea",NA,NA,"Traffic","defra"
